seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,bounded_substrate_fifo_5000,650,111,5000,0.0075,2.0907,0.076,0.9175,0.565
0,bounded_substrate_fifo_5000,700,119,5000,0.0075,2.2388,0.081,0.9225,0.555
0,bounded_substrate_fifo_5000,750,122,5000,0.0075,2.2973,0.083,0.925,0.555
0,bounded_substrate_fifo_5000,800,125,5000,0.0075,2.3618,0.085,0.925,0.555
0,bounded_substrate_fifo_5000,850,126,5000,0.0075,2.3983,0.086,0.925,0.555
0,bounded_substrate_fifo_5000,900,127,5000,0.0075,2.4263,0.0865,0.925,0.555
0,bounded_substrate_fifo_5000,950,132,5000,0.0075,2.5168,0.09,0.9275,0.555
0,bounded_substrate_fifo_5000,1000,133,5000,0.0075,2.5463,0.0905,0.9275,0.555
0,bounded_substrate_fifo_5000,1050,138,5000,0.0075,2.6463,0.0955,0.93,0.555
0,bounded_substrate_fifo_5000,1100,142,5000,0.0075,2.7349,0.098,0.93,0.555
0,bounded_substrate_fifo_5000,1150,144,5000,0.0075,2.7849,0.099,0.93,0.555
0,bounded_substrate_fifo_5000,1195,147,5000,0.0075,2.8339,0.1015,0.93,0.555
1,substrate,0,0,,3.2278,0.0,0.0,0.0,0.9425
1,substrate,50,32,,3.2278,0.025,0.0125,0.49,0.9425
1,substrate,100,52,,3.2278,0.048,0.021,0.7325,0.9425
1,substrate,150,63,,3.2278,0.073,0.027,0.7825,0.9425
1,substrate,200,74,,3.2278,0.099,0.0305,0.7975,0.9425
1,substrate,250,89,,3.2278,0.1235,0.0365,0.8225,0.9425
1,substrate,300,99,,3.2278,0.15,0.041,0.8275,0.9425
1,substrate,350,114,,3.2278,0.177,0.049,0.865,0.9425
1,substrate,400,119,,3.2278,0.2046,0.0515,0.87,0.9425
1,substrate,450,129,,3.2278,0.2306,0.0555,0.8725,0.9425
1,substrate,500,138,,3.2278,0.2576,0.06,0.875,0.9425
1,substrate,550,143,,3.2278,0.2831,0.063,0.89,0.9425
1,substrate,600,150,,3.2278,0.3111,0.0665,0.8975,0.9425
1,substrate,650,154,,3.2278,0.3386,0.0685,0.9,0.9425
1,substrate,700,159,,3.2278,0.3641,0.071,0.9,0.9425
1,substrate,750,165,,3.2278,0.3884,0.0732,0.91,0.9425
1,substrate,800,169,,3.2278,0.4169,0.0752,0.91,0.9425
1,substrate,850,172,,3.2278,0.4499,0.0762,0.9125,0.9425
1,substrate,900,177,,3.2278,0.4789,0.0787,0.9175,0.9425
1,substrate,950,181,,3.2278,0.5079,0.0802,0.925,0.9425
